service_id,date,exception_type
20162011multiint-1111100,20160802,1
20162011multiint-1111100,20160803,1
20162011multiint-0001100,20160804,1
20162011multiint-1111100,20160804,1
20162011multiint-0000100,20160805,1
20162011multiint-0001100,20160805,1
20162011multiint-1111100,20160805,1
20162511multiint-0000010,20160806,1
20162611multiint-0000001,20160807,1
20162011multiint-1111100,20160808,1
20162011multiint-1111100,20160809,1
20162011multiint-1111100,20160810,1
20162011multiint-0001100,20160811,1
20162011multiint-1111100,20160811,1
20162011multiint-0000100,20160812,1
20162011multiint-0001100,20160812,1
20162011multiint-1111100,20160812,1
20162511multiint-0000010,20160813,1
20162611multiint-0000001,20160814,1
20162011multiint-1111100,20160815,1
20162011multiint-1111100,20160816,1
20162011multiint-1111100,20160817,1
20162011multiint-0001100,20160818,1
20162011multiint-1111100,20160818,1
20162011multiint-0000100,20160819,1
20162011multiint-0001100,20160819,1
20162011multiint-1111100,20160819,1
20163511multiint-0000010,20160820,1
20163611multiint-0000001,20160821,1
20163012multiint-1111000,20160822,1
20163012multiint-1111100,20160822,1
20163012multiint-1111000,20160823,1
20163012multiint-1111100,20160823,1
20163012multiint-1111000,20160824,1
20163012multiint-1111100,20160824,1
20163012multiint-0001100,20160825,1
20163012multiint-1111000,20160825,1
20163012multiint-1111100,20160825,1
20163012multiint-0000100,20160826,1
20163012multiint-0001100,20160826,1
20163012multiint-1111100,20160826,1
20163511multiint-0000010,20160827,1
20163611multiint-0000001,20160828,1
20163012multiint-1111000,20160829,1
20163012multiint-1111100,20160829,1
20163012multiint-1111000,20160830,1
20163012multiint-1111100,20160830,1
20163012multiint-1111000,20160831,1
20163012multiint-1111100,20160831,1
20163012multiint-0001100,20160901,1
20163012multiint-1111000,20160901,1
20163012multiint-1111100,20160901,1
20163012multiint-0000100,20160902,1
20163012multiint-0001100,20160902,1
20163012multiint-1111100,20160902,1
20163511multiint-0000010,20160903,1
20163611multiint-0000001,20160904,1
20163611multiint-0000001,20160905,1
20163011multiint-1111000,20160906,1
20163011multiint-1111100,20160906,1
20163011multiint-1111000,20160907,1
20163011multiint-1111100,20160907,1
20163011multiint-0001100,20160908,1
20163011multiint-1111000,20160908,1
20163011multiint-1111100,20160908,1
20163011multiint-0000100,20160909,1
20163011multiint-0001100,20160909,1
20163011multiint-1111100,20160909,1
20163511multiint-0000010,20160910,1
20163611multiint-0000001,20160911,1
20163011multiint-1111000,20160912,1
20163011multiint-1111100,20160912,1
20163011multiint-1111000,20160913,1
20163011multiint-1111100,20160913,1
20163011multiint-1111000,20160914,1
20163011multiint-1111100,20160914,1
20163011multiint-0001100,20160915,1
20163011multiint-1111000,20160915,1
20163011multiint-1111100,20160915,1
20163011multiint-0000100,20160916,1
20163011multiint-0001100,20160916,1
20163011multiint-1111100,20160916,1
20163511multiint-0000010,20160917,1
20163611multiint-0000001,20160918,1
20163011multiint-1111000,20160919,1
20163011multiint-1111100,20160919,1
20163011multiint-1111000,20160920,1
20163011multiint-1111100,20160920,1
20163011multiint-1111000,20160921,1
20163011multiint-1111100,20160921,1
20163011multiint-0001100,20160922,1
20163011multiint-1111000,20160922,1
20163011multiint-1111100,20160922,1
20163011multiint-0000100,20160923,1
20163011multiint-0001100,20160923,1
20163011multiint-1111100,20160923,1
20163511multiint-0000010,20160924,1
20163611multiint-0000001,20160925,1
20163011multiint-1111000,20160926,1
20163011multiint-1111100,20160926,1
20163011multiint-1111000,20160927,1
20163011multiint-1111100,20160927,1
20163011multiint-1111000,20160928,1
20163011multiint-1111100,20160928,1
20163011multiint-0001100,20160929,1
20163011multiint-1111000,20160929,1
20163011multiint-1111100,20160929,1
20163011multiint-0000100,20160930,1
20163011multiint-0001100,20160930,1
20163011multiint-1111100,20160930,1
20163511multiint-0000010,20161001,1
20163611multiint-0000001,20161002,1
20163011multiint-1111000,20161003,1
20163011multiint-1111100,20161003,1
20163011multiint-1111000,20161004,1
20163011multiint-1111100,20161004,1
20163011multiint-1111000,20161005,1
20163011multiint-1111100,20161005,1
20163011multiint-0001100,20161006,1
20163011multiint-1111000,20161006,1
20163011multiint-1111100,20161006,1
20163011multiint-0000100,20161007,1
20163011multiint-0001100,20161007,1
20163011multiint-1111100,20161007,1
20163511multiint-0000010,20161008,1
20163611multiint-0000001,20161009,1
20163512multiint-0000010,20161010,1
20163011multiint-1111000,20161011,1
20163011multiint-1111100,20161011,1
20163011multiint-1111000,20161012,1
20163011multiint-1111100,20161012,1
20163011multiint-0001100,20161013,1
20163011multiint-1111000,20161013,1
20163011multiint-1111100,20161013,1
20163011multiint-0000100,20161014,1
20163011multiint-0001100,20161014,1
20163011multiint-1111100,20161014,1
20163511multiint-0000010,20161015,1
20163611multiint-0000001,20161016,1
20163011multiint-1111000,20161017,1
20163011multiint-1111100,20161017,1
20163011multiint-1111000,20161018,1
20163011multiint-1111100,20161018,1
20163011multiint-1111000,20161019,1
20163011multiint-1111100,20161019,1
20163011multiint-0001100,20161020,1
20163011multiint-1111000,20161020,1
20163011multiint-1111100,20161020,1
20163011multiint-0000100,20161021,1
20163011multiint-0001100,20161021,1
20163011multiint-1111100,20161021,1
20163511multiint-0000010,20161022,1
20163611multiint-0000001,20161023,1
20163011multiint-1111000,20161024,1
20163011multiint-1111100,20161024,1
20163011multiint-1111000,20161025,1
20163011multiint-1111100,20161025,1
20163011multiint-1111000,20161026,1
20163011multiint-1111100,20161026,1
20163011multiint-0001100,20161027,1
20163011multiint-1111000,20161027,1
20163011multiint-1111100,20161027,1
20163011multiint-0000100,20161028,1
20163011multiint-0001100,20161028,1
20163011multiint-1111100,20161028,1
20163511multiint-0000010,20161029,1
20163611multiint-0000001,20161030,1
20163011multiint-1111000,20161031,1
20163011multiint-1111100,20161031,1
20163011multiint-1111000,20161101,1
20163011multiint-1111100,20161101,1
20163011multiint-1111000,20161102,1
20163011multiint-1111100,20161102,1
20163011multiint-0001100,20161103,1
20163011multiint-1111000,20161103,1
20163011multiint-1111100,20161103,1
20163011multiint-0000100,20161104,1
20163011multiint-0001100,20161104,1
20163011multiint-1111100,20161104,1
20163511multiint-0000010,20161105,1
20163611multiint-0000001,20161106,1
20163011multiint-1111000,20161107,1
20163011multiint-1111100,20161107,1
