route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868004,20163611multiint-0000001,48944395-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944478-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163611multiint-0000001,48944407-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944490-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868074,20163611multiint-0000001,48943314-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943394-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943320-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943400-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943326-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943406-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943332-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943412-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868004,20163611multiint-0000001,48944445-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163611multiint-0000001,48944526-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944609-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868004,20163611multiint-0000001,48944384-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944467-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163611multiint-0000001,48944396-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944479-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868004,20163611multiint-0000001,48944408-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944491-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868074,20163611multiint-0000001,48943315-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943395-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943321-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943401-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943327-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943407-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868074,20163611multiint-0000001,48943333-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943413-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
868024,20163611multiint-0000001,48944828-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944832-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944837-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944840-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944845-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944848-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944853-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868024,20163611multiint-0000001,48944858-20163611multiint-0000001,"Station Belvédère (Ouest)",,1,,80240038,1
868024,20163611multiint-0000001,48944863-20163611multiint-0000001,"Terminus Beauport (Est)",,0,,80240039,1
868014,20163611multiint-0000001,48944542-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944626-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868014,20163611multiint-0000001,48944554-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944638-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
